Name,Share Price,EPS 2013,Dividend 2013,EPS 2014,Dividend 2014,EPS 2015,Dividend 2015,EPS 2016,Dividend 2016,EPS 2017,Dividend 2017,EPS 2018,Dividend 2018,EPS 2019,Dividend 2019,EPS 2020,Dividend 2020,EPS 2009,Dividend 2009,EPS 2010,Dividend 2010,EPS 2011,Dividend 2011
"MorphoSys Aktie�
","90,54EUR
","0,23","0,00","-0,12","0,00","0,57","0,00","-2,28","0,00","-2,41","0,00","-1,79","0,00","-3,26","0,00",,,,,,,,
"Deutsche Euroshop Aktie�
","18,15EUR
","3,17","1,25","3,29","1,30","5,73","1,35","4,11","1,40","2,31","1,45","1,28","1,50","1,81","0,00",,,,,,,,
"BVB (Borussia Dortmund) Aktie�
","5,42EUR
",,,"0,19","0,10","0,06","0,05","0,32","0,06","0,09","0,06","0,31","0,06","0,19","0,06","-0,48","0,00",,,,,,
"FUCHS PETROLUB Aktie�
","46,76EUR
","1,53","0,70","1,58","0,77","1,69","0,82","1,86","0,89","1,94","0,91","2,07","0,95","1,64","0,97",,,,,,,,
"Hypoport Aktie�
","509,00EUR
","0,51","0,00","0,96","0,00","2,61","0,00","3,00","0,00","3,10","0,00","3,66","0,00","3,90","0,00",,,,,,,,
"GEA Aktie�
","29,15EUR
","1,75","0,60","1,88","0,70","1,88","0,80","1,48","0,80","1,31","0,85","0,63","0,85","-0,95","0,43",,,,,,,,
"Bilfinger Aktie�
","24,94EUR
","2,87","3,00","-2,02","2,00","-11,06","0,00","6,12","1,00","-2,01","1,00","-0,59","1,00","0,60","0,12",,,,,,,,
"Dr�gerwerk Aktie�
","62,40EUR
","6,91","0,83","5,73","1,39","1,85","0,19","3,43","0,19","4,14","0,46","1,45","0,19","1,40","0,19",,,,,,,,
"MTU Aero Engines Aktie�
","217,50EUR
","3,39","1,35","3,84","1,45","4,26","1,70","6,09","1,90","7,35","2,30","8,67","2,85","9,23","3,40",,,,,,,,
"Vonovia Aktie�
","58,24EUR
","2,15","0,67","1,56","0,74","2,29","0,94","4,94","1,12","5,06","1,32","4,48","1,44","2,15","1,57",,,,,,,,
"E.ON Aktie�
","8,91EUR
","1,12","0,60","-1,64","0,50","-3,60","0,50","-4,33","0,21","1,84","0,30","1,49","0,43","0,68","0,46",,,,,,,,
"Delivery Hero Aktie�
","118,00EUR
",,,-,-,-,-,-,-,-,"0,00","-1,61","0,00","-3,68","0,00",,,,,,,,
"Schaeffler Aktie�
","6,62EUR
","1,30",-,"0,98",-,"0,96","0,35","1,29","0,50","1,47","0,55","1,32","0,55","0,64","0,45",,,,,,,,
"Talanx Aktie�
","31,58EUR
","3,02","1,20","3,04","1,25","2,90","1,30","3,59","1,35","2,66","1,40","2,78","1,45","3,65","1,50",,,,,,,,
"OSRAM Aktie�
","51,80EUR
",,,"1,80","0,90","1,59","0,90","3,84","1,00","2,78","1,11","1,42","1,11","-4,16",-,"-1,96",-,,,,,,
"Fresenius Medical Care Aktie�
","68,00EUR
","2,75","0,77","2,61","0,78","3,05","0,80","3,68","0,96","4,17","1,06","6,47","1,17","3,96","1,20",,,,,,,,
"pbb Aktie�
","9,11EUR
","1,19",-,"0,03","0,00","1,71","0,43","1,46","1,05","1,35","1,07","1,24","1,00","1,20","0,90",,,,,,,,
"BayWa Aktie�
","32,80EUR
","2,85","0,75","2,03","0,80","1,39","0,85","0,90","0,85","1,13","0,90","0,92","0,90","1,04","0,95",,,,,,,,
"Lufthansa Aktie�
","9,90EUR
","0,68","0,45","0,12","0,00","3,67","0,50","3,81","0,50","5,03","0,80","4,58","0,80","2,55","0,00",,,,,,,,
"INDUS Aktie�
","32,85EUR
","2,85","1,10","2,58","1,20","2,78","1,20","3,27","1,35","3,37","1,50","2,90","1,50","2,43","0,80",,,,,,,,
"Allianz Aktie�
","199,66EUR
","13,23","5,30","13,71","6,85","14,56","7,30","15,14","7,60","15,24","8,00","17,43","9,00","18,90","9,60",,,,,,,,
"CompuGroup Medical Aktie�
","77,05EUR
","0,46","0,35","0,53","0,35","0,77","0,35","0,90","0,35","0,63","0,35","1,88","0,50","1,36","0,50",,,,,,,,
"Software Aktie�
","33,26EUR
","1,60","0,46","1,39","0,50","1,78","0,55","1,84","0,60","1,88","0,65","2,23","0,71","2,09","0,76",,,,,,,,
"Siemens Aktie�
","116,68EUR
",,,"6,37","3,30","6,54","3,50","6,61","3,60","7,44","3,70","7,12","3,80","6,41","3,90","3,82","3,50",,,,,,
"Scout24 Aktie�
","67,25EUR
",,,"-59,79",-,"0,56","0,00","0,62","0,30","1,03","0,56","1,53","0,64","0,75","0,91",,,,,,,,
